municipio,estacion,lat,lon,Y,X,n_estaciones_municipio,estacion_original,revision_avamet,nota_revision
Anna,Anna,39.01931388888889,-0.6476388888888889,39 1   9.53   N,0 38 51.50 W,1,Anna,activa_o_sustituida,sin_cambios
Chella,Chella,39.04422222222222,-0.6618888888888889,39 2   39.20   N,0 39 42.80 W,2,Chella,activa_o_sustituida,sin_cambios
Quesa,QuesaHotel La Rocha,39.11553333333333,-0.7361722222222221,39 6   55.92   N,0 44 10.22 W,1,QuesaHotel La Rocha,activa_o_sustituida,sin_cambios
BicorpEcomuseo,BicorpEcomuseo,39.1317,-0.7879,"39°7'54.12"""" N",0°47'16.44 W,1,BicorpEcomuseo,activa_o_sustituida,sin_cambios
Millares,Millares,39.237430555555555,-0.7728166666666667,39 14   14.75   N,0 46 22.14 W,1,Millares,activa_o_sustituida,sin_cambios
Cortes de Pallás,Cortes de PallásAyuntamiento,39.2456,-0.9408,"39°14'44.16""""  N",0°56'26.88 W,2,Cortes de PallásAyuntamiento,activa_o_sustituida,sin_cambios
Dos Aguas,Dos Aguas,39.2898,-0.7986,"39°17'23.28"""" N",0°47'54.96 W,1,Dos Aguas,activa_o_sustituida,sin_cambios
Buñol,Buñol,39.419399999999996,-0.7906,39 25   9.84   N,0 47 26.16 W,3,Buñol,activa_o_sustituida,sin_cambios
Chiva,Chiva,39.4778,-0.7211,39 28   40.08   N,0 43 15.96 W,2,Chiva,activa_o_sustituida,sin_cambios
Cheste,Chestecentre,39.49194444444444,-0.6836111111111112,39 29   31.00   N,0 41 1.00 W,2,Chestecentre,activa_o_sustituida,sin_cambios
Requena,Requena,39.48861111111111,-1.0808333333333333,39 29   19.00   N,1 4 51.00 W,8,Requena,activa_o_sustituida,sin_cambios
Utiel,UtielLa TorreCoop. S.Antonio,39.669444444444444,-1.2594444444444444,39 40   10.00   N,1 15 34.00 W,3,UtielLa Cubera AEMET,activa_o_sustituida,actualizada_nombre_y_coordenadas
Sinarcas,SinarcasLa Raílla,39.733069444444446,-1.2291500000000002,39 43   59.05   N,1 13 44.94 W,1,SinarcasLa Raílla,activa_o_sustituida,sin_cambios
Camporrobles,CamporroblesAyuntamiento,39.6487,-1.3957,"39°38'55.32"""" N",-1°23'44.52 W,1,CamporroblesAyuntamiento,activa_o_sustituida,sin_cambios
Cofrentes,Cofrentes,39.232800000000005,-1.0617,"39°13'58.08"""" N",-1°3'42.12 W,1,Cofrentes,activa_o_sustituida,sin_cambios
Jalance,Jalance,39.1922,-1.0766694444444445,"39°11'31.92"""" N",-1°4'36.01 W,2,Jalance,activa_o_sustituida,sin_cambios
Ayora,AyoraSan Benito,38.92916944444444,-1.102363888888889,38 55   45.01   N,1 6 8.51 W,2,AyoraSan Benito,activa_o_sustituida,sin_cambios
Chelva,Chelva,39.7481,-0.985,39 44  53.16  N,0 59 6.00 W,2,Chelva,activa_o_sustituida,sin_cambios
Chulilla,Chulilla,39.6586,-0.8914,"39°39'30.96"""" N",0°53'29.04 W,2,Chulilla,activa_o_sustituida,sin_cambios
Sot de Chera,Sot de Chera,39.620666666666665,-0.909088888888889,39 37  14.40  N,0 54 32.72 W,1,Sot de Chera,activa_o_sustituida,sin_cambios
Chera,Chera,39.593561111111114,-0.9734027777777778,39 35   36.82   N,0 58 24.25 W,1,Chera,activa_o_sustituida,sin_cambios
Alpuente,Alpuente,39.885172222222224,-1.0143972222222222,39 53  6.62  N,1 0 51.83 W,1,Alpuente,activa_o_sustituida,sin_cambios
Titaguas,TitaguasCosmofísica,39.8667,-1.0836,39 52  0.12  N,1 5 0.96 W,1,TitaguasCosmofísica,activa_o_sustituida,sin_cambios
Aras de los Olmos,Aras de los Olmos,39.92472222222222,-1.1336111111111111,39 55  29.00  N,1 8 1.00 W,1,Aras de los Olmos,activa_o_sustituida,sin_cambios
Ademuz,AdemuzIES Ademuz,40.059977777777775,-1.285122222222222,40 3  35.92  N,1 17 6.44 W,2,AdemuzAEMET,activa_o_sustituida,actualizada_nombre_y_coordenadas
Castielfabib,Castielfabib,40.13113333333333,-1.3041500000000001,40 7  52.08  N,1 18 14.94 W,2,Castielfabib,activa_o_sustituida,sin_cambios
Puebla de San Miguel,Puebla de San Miguel,40.04433611111111,-1.1416638888888888,40 2  39.61  N,1 8 29.99 W,1,Puebla de San Miguel,activa_o_sustituida,sin_cambios
